date;filename;fileSize;dataCount
2025.07.15 11:24:29;C:\Program Files (x86)\Lolly\DATA\data_94234715_2025_07_15_0.csv;3870878;68583
2025.07.15 11:27:54;C:\Program Files (x86)\Lolly\DATA\data_94234715_2025_07_15_1.csv;5870178;103623
2025.07.15 12:04:43;C:\Program Files (x86)\Lolly\DATA\data_94206238_2025_07_15_0.csv;5806502;103624
2025.09.15 10:21:17;C:\Program Files (x86)\Lolly\DATA\data_94217431_2025_09_15_0.csv;7349885;129922
2025.09.15 10:50:08;C:\Program Files (x86)\Lolly\DATA\data_94217412_2025_09_15_0.csv;7336089;129926
2025.09.15 11:51:13;C:\Program Files (x86)\Lolly\DATA\data_94217458_2025_09_15_0.csv;7358265;129929
2025.09.15 11:56:25;C:\Program Files (x86)\Lolly\DATA\data_94217454_2025_09_15_0.csv;7329009;129930
2025.09.15 12:55:24;C:\Program Files (x86)\Lolly\DATA\data_94217453_2025_09_15_0.csv;7352108;129934
2025.09.15 13:45:04;C:\Program Files (x86)\Lolly\DATA\data_94217411_2025_09_15_0.csv;7349957;129937
2025.09.15 13:51:50;C:\Program Files (x86)\Lolly\DATA\data_94217423_2025_09_15_0.csv;7336599;129935
2025.09.15 14:30:05;C:\Program Files (x86)\Lolly\DATA\data_94217455_2025_09_15_0.csv;7352055;129940
2025.09.15 14:35:11;C:\Program Files (x86)\Lolly\DATA\data_94217459_2025_09_15_0.csv;7352821;129938
2025.09.18 10:35:21;C:\Program Files (x86)\Lolly\DATA\data_94217441_2025_09_18_0.csv;7365240;130211
2025.09.18 10:44:26;C:\Program Files (x86)\Lolly\DATA\data_94217442_2025_09_18_0.csv;7362025;130212
2025.09.18 11:51:49;C:\Program Files (x86)\Lolly\DATA\data_94217432_2025_09_18_0.csv;7371089;130218
2025.09.18 12:55:53;C:\Program Files (x86)\Lolly\DATA\data_94217433_2025_09_18_0.csv;7352435;130221
2025.09.18 13:02:58;C:\Program Files (x86)\Lolly\DATA\data_94217434_2025_09_18_0.csv;7356657;130221
2025.09.22 11:06:32;C:\Program Files (x86)\Lolly\DATA\data_94217429_2025_09_22_0.csv;7400615;130598
2025.09.22 11:15:48;C:\Program Files (x86)\Lolly\DATA\data_94217428_2025_09_22_0.csv;7399459;130599
2025.09.22 11:24:59;C:\Program Files (x86)\Lolly\DATA\data_94217424_2025_09_22_0.csv;7379824;130597
2025.09.22 11:36:10;C:\Program Files (x86)\Lolly\DATA\data_94217426_2025_09_22_0.csv;7394944;130600
2025.09.22 11:45:20;C:\Program Files (x86)\Lolly\DATA\data_94217436_2025_09_22_0.csv;7388605;130603
2025.09.22 11:54:24;C:\Program Files (x86)\Lolly\DATA\data_94217427_2025_09_22_0.csv;7384066;130600
2025.09.22 12:16:00;C:\Program Files (x86)\Lolly\DATA\data_94217430_2025_09_22_0.csv;8409249;148488
2025.09.22 12:23:40;C:\Program Files (x86)\Lolly\DATA\data_94217422_2025_09_22_0.csv;7389647;130605
2025.10.02 11:08:05;C:\Program Files (x86)\Lolly\DATA\data_94217437_2025_10_02_0.csv;7451084;131556
2025.10.02 11:11:56;C:\Program Files (x86)\Lolly\DATA\data_94217460_2025_10_02_0.csv;7389942;131559
2025.10.02 12:08:10;C:\Program Files (x86)\Lolly\DATA\data_94217457_2025_10_02_0.csv;7429491;131561
2025.10.02 12:44:59;C:\Program Files (x86)\Lolly\DATA\data_94217439_2025_10_02_0.csv;7452271;131564
2025.10.02 13:26:23;C:\Program Files (x86)\Lolly\DATA\data_94217440_2025_10_02_0.csv;7449710;131565
2025.10.02 13:32:45;C:\Program Files (x86)\Lolly\DATA\data_94217456_2025_10_02_0.csv;7449006;131568
2025.10.02 13:55:58;C:\Program Files (x86)\Lolly\DATA\data_94217443_2025_10_02_0.csv;7449038;131568
2025.10.02 14:01:50;C:\Program Files (x86)\Lolly\DATA\data_94217444_2025_10_02_0.csv;7449865;131571
